X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-2.1500	0.3550	2.9939	-2.7792	0.6658	0.6932	-5.0070	2.2077	-2.2367	3.3160	3.0693	-11.6223	0.2505	3.6662	4.0026	3.2258	9.7237	16.6480	-7.3718	-10.7011
-0.0457	0.6602	3.4371	1.8657	1.3885	6.7248	-6.4442	1.6881	-2.4864	5.1058	-4.7002	-4.7132	-13.9109	7.7794	0.3120	2.5770	10.7500	7.8771	-19.0790	-10.0750
-0.4246	1.3035	0.4453	-0.9068	-1.8578	0.2591	-2.7923	1.3138	-1.8563	0.9324	-0.0678	-3.6566	-3.9874	1.0142	1.9206	1.5753	3.9610	8.1613	-5.3352	-6.0841
-1.8529	-2.8683	-0.0354	-1.0037	0.5906	-2.3649	0.3917	-1.1622	2.1615	-0.2962	-0.0190	-1.2815	4.5891	-7.3884	-5.5461	-4.6845	0.5014	-8.6879	2.3800	-2.2297
-1.0046	-3.0997	1.3879	-1.7932	1.3757	-0.7259	0.8725	-0.9248	4.4698	0.6059	-0.1382	-1.7222	0.4511	-2.9035	-2.1655	-5.3367	1.1241	-3.9575	-3.3263	-0.2695
-1.5065	1.8119	-4.3487	1.9040	-1.1809	-7.6270	5.9153	2.6398	-1.9252	-4.7157	-4.1157	6.8712	12.2645	-8.0692	7.3399	4.2876	-6.2469	4.0011	19.8091	9.2328
1.6992	-2.1643	-2.1545	0.2211	1.3950	-2.4269	3.7570	-1.0652	1.5817	0.3816	0.2711	7.2012	0.2664	-6.4837	-2.8883	-3.9433	-9.1486	-13.4934	4.0023	9.6556
0.7171	-2.4721	0.6053	-1.3897	-2.6816	-0.1939	-0.8166	-0.8388	1.4878	1.6558	2.5776	-1.2986	2.7364	-2.4506	-4.7732	-3.6044	2.7309	-6.4781	4.3626	-2.8834
0.7119	1.5191	1.1021	1.8220	-4.5613	4.2482	-3.5579	-0.9155	2.7024	-1.4490	-1.6503	0.3996	-8.7489	5.5922	0.7785	1.1081	6.3416	1.3610	-5.0473	-8.6088
0.8033	3.5767	-2.0039	-2.1022	1.2648	-2.3607	3.0302	-0.7213	-0.9550	-0.4121	2.7974	4.5091	4.6206	-0.0464	1.0846	5.1884	-6.9153	-6.0987	7.8766	8.1744
0.1056	2.8289	-1.9303	0.3731	0.7981	-3.3308	0.8252	-1.1733	-0.7759	-2.1178	0.6817	-1.5051	1.8795	-0.8018	1.4854	2.0616	-1.6670	4.8043	0.8214	0.7891
2.1678	-2.5460	-0.3992	1.3832	0.9157	1.3304	-3.7229	-0.2425	4.8685	-0.5324	-0.4073	-1.3500	-5.3717	-0.3709	-1.5055	-4.6861	3.8035	3.3217	-6.6762	-5.2211
1.5569	-1.6596	0.4113	-3.1873	-1.6186	-1.1715	1.8189	-1.0582	0.2312	-0.6325	5.5859	-1.9174	0.5366	-1.8112	-0.0606	1.4563	-5.7582	-1.2399	2.8515	7.2747
-2.5858	-1.0522	-1.7480	-0.7508	-0.5741	-2.9254	5.6827	-3.2456	0.5772	-1.3592	0.1858	8.2583	11.1461	-4.0227	-3.4480	-3.1133	-4.1025	-15.2623	13.6909	4.8412
-0.7291	-0.8053	1.5488	1.4196	2.6599	0.6428	-0.5832	-2.7428	2.5427	-1.1697	-4.3514	0.1482	-2.0457	0.1480	-1.6712	-1.1991	2.9075	-1.8245	-4.3734	-3.1711
2.1995	0.0583	-0.2867	-0.4035	-0.2187	-1.3005	1.7911	-0.8343	1.3753	3.3553	1.5891	2.5611	-2.8212	0.2770	-0.4706	-1.6495	-2.2964	-3.8462	-0.9898	3.9982
0.2076	3.1737	-0.8144	0.4277	0.3583	-1.1946	0.2245	-0.7179	-0.7888	-1.4329	-0.7904	1.2345	1.0334	2.9829	3.0797	2.3019	-0.4882	4.1356	0.1173	1.7408
0.6457	1.6146	1.4577	-1.1285	2.4700	1.9687	-2.0691	-0.6180	-2.1244	0.5850	1.2767	-3.0372	-6.0796	7.3548	1.4172	0.5914	0.8856	4.8707	-14.5304	-1.9816
-1.1438	2.0850	-2.2148	-1.4071	-0.7258	-2.7593	3.6156	0.2883	0.6643	-2.1310	2.3843	0.6017	8.5305	0.7629	1.3354	3.4052	-4.2798	-1.0816	10.1403	4.8767
1.3447	-1.4437	1.3326	0.2621	3.1165	0.6783	-0.7963	2.9607	-0.7230	0.8686	2.5645	-2.1256	-2.4790	0.4762	2.8750	-1.5410	1.8967	6.4900	-8.6776	-2.8370
-1.8608	-1.9177	-4.2703	-1.5539	-0.9296	-6.9629	8.1286	-0.4953	1.2561	-3.7195	1.4595	8.6463	14.8902	-11.2760	-2.2827	-0.9265	-9.3988	-14.9878	22.5020	9.8592
0.8723	-3.9121	-0.6360	0.1409	-0.3315	0.3889	2.1600	1.2110	6.2823	-1.0151	-0.1118	3.5125	-0.0820	-5.0572	-1.5322	-5.8050	-0.3782	-6.9413	-0.1556	0.4924
1.9467	3.8014	0.4383	0.3016	1.0292	2.0099	-2.9061	-0.4580	-0.7143	1.3008	1.0700	-1.4978	-9.6346	5.0681	2.4977	5.6818	1.0488	5.3472	-12.6220	-1.1399
-0.2904	-1.9755	1.6329	-1.1144	-0.4827	0.7816	-3.2410	-1.9556	1.4282	1.9212	0.4807	-0.7395	-1.3637	0.5912	-4.0259	-1.5895	5.2150	-8.1448	-1.5156	-6.1587
0.9151	0.4652	-0.5236	-0.4246	1.8210	-1.5163	0.6826	-2.4971	1.9364	-0.6843	0.6426	3.4470	0.5582	-1.7066	-4.5368	-2.0635	-2.5252	-10.9640	4.3649	-0.7722
