X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50
0.4956	-0.5960	0.3138	-0.3096	1.0437	-1.0414	1.5389	0.5889	-3.1479	3.7844	-1.6895	1.0857	2.0222	0.1253	1.5167	-5.9932	0.4262	0.1315	-1.6389	-0.1766	-1.0137	0.5865	-3.9963	-2.4954	-1.0808	-4.8287	-1.1029	-0.0522	3.9207	1.5015	0.1328	-0.6531	-0.7400	0.4166	-0.4851	0.4203	9.1313	1.5882	0.6009	-0.4403	-0.2603	-1.1280	3.1177	-1.1138	-3.2912	1.6774	0.9331	-1.2056	8.3071	0.6830
-1.1677	-0.4825	0.3650	2.3795	3.5649	-1.5625	0.0832	1.7331	-1.1498	1.4100	2.4972	2.5733	1.9684	1.6099	0.6750	-4.5094	0.7231	-0.6797	-0.9772	1.5165	1.0479	-2.2651	-1.1724	1.1879	-0.1960	-2.0351	0.1452	-0.5999	-2.7155	2.9754	2.5080	1.8986	2.3503	0.7403	-0.8451	-2.0389	-5.1528	4.0138	-0.7285	-4.2743	1.1519	-0.2150	-5.0609	5.2544	9.9498	-13.6975	2.6498	1.1640	-6.3380	-0.3438
2.0940	0.3826	0.5014	0.0993	-0.2467	-0.4606	-2.4682	-1.1524	2.4078	1.5927	-1.3266	-0.5559	-1.4483	-0.2594	1.6987	-0.4149	0.8781	-3.4795	-2.6480	-1.5720	1.9766	1.0396	2.0268	3.8751	0.5271	-3.6204	-1.5082	0.2090	-3.5648	-5.5801	-2.4891	0.3778	-3.1442	-1.5812	1.2026	-2.5187	-7.2792	-1.2329	0.2072	-1.8977	0.6358	0.2863	3.3673	-0.3943	0.0392	-1.3071	1.2676	1.9427	-3.5510	1.3588
2.3946	-1.9295	0.7042	1.2743	1.6241	-1.5515	1.4961	-3.4971	1.1096	-0.9676	-0.9868	-2.1842	-7.4089	-3.6045	1.4792	2.0657	1.0575	3.7716	0.7700	-4.3091	3.0334	1.2463	1.0733	0.4916	0.2034	-1.9430	-3.8925	-0.9021	-10.1077	0.6502	-3.9409	-0.7999	-6.8497	-0.9798	0.3099	-0.8688	-14.0850	3.0494	-2.6566	-1.8534	-1.5006	-1.0435	4.5812	-0.6958	-2.7499	-1.1255	-2.7113	-3.5563	-6.2888	-1.6877
-1.0187	-0.2833	-0.3152	-0.9439	-2.9569	-0.3646	0.5216	-0.5176	-0.7274	-0.0203	-2.9885	-0.1116	-1.1998	-1.4910	0.8255	-1.9628	-0.8966	1.0901	1.3001	0.3062	-2.4121	2.3018	0.4637	1.3133	0.9669	-0.8068	-1.2137	-2.6532	4.0936	0.6085	-6.3399	-0.4449	-7.9475	0.7103	-0.8585	-0.0664	4.6712	-0.6909	-1.2164	0.2395	-1.5548	1.9416	11.8504	-12.7856	-19.8720	30.4378	-2.1055	-2.0467	6.0945	-0.9309
-1.6626	0.2665	1.0801	-5.0359	-3.6627	-3.2485	0.9004	-1.5533	0.6568	7.7208	0.8615	3.7374	-0.3376	1.4957	-0.8378	-15.3123	1.4596	0.4356	-0.4836	-0.8940	0.8627	-0.7381	-1.7825	2.7056	-1.3193	-10.1360	-2.4553	-0.0435	1.3821	0.4066	1.6005	0.7542	-0.8154	2.9437	3.8735	1.8181	3.6701	-2.0447	0.2413	-7.0414	0.5873	-5.3530	0.4697	0.5008	3.4444	-14.2074	1.7981	-1.9225	-20.6723	-3.8249
-0.2105	-1.5414	-1.8412	-1.5890	-1.1087	1.7824	2.8351	3.7265	0.9682	1.1877	2.6558	1.9448	3.9496	0.3988	1.0505	0.9439	0.9521	4.1817	1.0349	5.4328	-2.3071	0.9644	-0.3001	-1.9923	0.1549	-2.6886	2.9198	0.8315	11.9068	-1.7173	0.5502	-1.1678	3.7366	1.0359	3.6481	1.4124	18.2498	-0.3474	-1.7635	-6.7744	-0.1008	-6.5929	-3.6165	-1.9303	1.1129	-5.1467	-2.0399	0.4647	-13.4354	-4.2729
-1.3964	0.5252	1.1669	2.9011	2.6984	0.7599	0.9320	0.6163	-0.2146	-1.6993	-1.0703	0.6646	-0.3435	1.3283	2.6337	-0.3400	-3.0075	2.1617	-0.0445	-3.2643	0.6867	0.1336	-2.4209	0.4137	-0.9890	-0.6578	1.2443	-0.5098	-1.4336	4.4887	-1.8412	-0.9003	0.4198	0.5686	-2.5614	-1.5766	-8.1347	2.0316	0.8700	4.4287	0.8735	2.4076	2.2245	-3.9237	-5.3243	7.9406	1.5639	3.3185	8.2077	0.8608
0.1088	0.7943	-1.9805	1.7037	3.1267	-0.7620	-0.4751	-0.6534	0.7291	-0.1264	-1.9949	-2.8002	-2.1933	0.0609	0.1561	1.7265	0.9842	-0.6504	-1.5081	-0.6877	-0.7391	0.2729	-1.7728	0.3809	0.3286	-0.1877	-0.8441	-2.6980	1.1511	-1.3830	-0.9432	-2.2998	-7.8532	-0.3012	2.3749	0.4122	0.9920	3.6527	-1.4145	-4.5839	0.4135	-3.0344	0.8091	-2.9523	-7.6289	5.2361	1.3193	-2.6143	-10.4355	-0.0114
0.7640	-1.8783	1.7386	-0.9987	-0.6132	-2.0361	-2.9348	-0.8659	-1.5489	2.9209	-2.0055	1.2722	-2.0001	-2.7857	-2.2750	-5.0692	1.2879	-4.5266	-0.3729	1.9960	2.2135	-0.4341	0.2716	0.0085	0.3156	-0.6028	-3.0833	-0.5340	0.4181	3.3837	-2.7143	-0.1627	-1.9187	-2.0653	1.0120	1.2445	2.3272	0.5453	0.2403	-3.4132	0.9752	-3.7316	0.1620	-3.1510	-9.3341	12.7171	-4.5641	-1.9180	-3.9098	1.6787
0.2640	0.2392	-0.8507	-1.1045	-0.6695	-2.9059	-1.4374	0.2252	0.2466	1.2291	-0.9268	0.1483	0.5404	-0.3150	-0.3606	-3.9004	-0.7211	-3.8523	-4.5706	0.2094	-2.7725	0.8870	-5.4922	2.0085	0.4327	-1.3656	1.8022	0.4078	7.1329	-3.0223	-0.4309	-1.5427	0.4143	-1.3350	-2.9058	-2.9161	4.5288	0.0974	2.5554	4.0079	-1.7748	2.1758	2.1474	-4.9531	-9.3564	9.1709	2.3472	1.6319	8.1550	2.9707
-1.4539	1.7489	-3.8220	-2.1911	-0.7215	-0.6779	1.2509	-2.0502	-1.5812	-1.3370	0.6338	-0.1409	-1.1156	-0.2035	0.1510	-0.8554	-0.1692	2.4553	-0.0654	-2.4412	-0.7814	0.4759	-4.9358	0.6703	-0.9762	-0.0569	1.8271	4.1485	-0.5298	3.9030	-0.5324	-0.5880	3.4116	3.1093	1.5235	-2.0253	-4.6901	-5.9359	1.3513	6.4059	-1.2585	-1.1473	4.7970	-0.6647	-4.7268	7.8350	-0.5266	1.6404	15.2321	0.1531
1.1625	0.0335	-0.2137	-1.3595	-1.6826	-2.3855	2.6598	-0.1480	-1.4471	2.6717	-1.1034	-1.1559	-0.5532	1.2021	-1.3669	-3.1036	-0.3763	4.6975	3.6658	-0.4112	-3.1071	1.4842	0.7498	2.3140	1.0699	-2.2052	-0.5461	-0.5567	4.6649	-3.7624	0.0555	-0.0528	-2.1762	0.9188	1.5590	0.7079	10.6524	0.2072	0.3494	-2.8870	-0.4024	-1.2181	3.0046	-3.0644	-6.4026	8.4096	1.6330	2.1281	-10.5320	-0.5239
2.1754	-0.1798	0.1090	-1.2242	0.8847	-0.9531	-0.4289	-0.6902	0.2945	-1.3427	0.4537	-1.1177	-0.9134	-1.7548	-1.0061	2.4661	-0.5818	-1.2220	-0.7678	-5.0736	-1.2668	-0.2282	-0.5308	1.0025	0.0248	1.3523	-0.8612	0.1621	-3.5067	-6.3620	-1.7617	2.6159	0.9273	-1.4281	-0.9422	0.7725	-2.2978	-0.7126	1.3803	4.7328	-1.5633	1.4142	-2.4568	-1.5243	-0.7517	3.9146	-3.2953	-0.3567	9.6988	1.6297
-0.7399	0.6994	1.4631	0.0125	-3.8717	-3.3494	1.3703	-3.2807	-0.3315	-1.2982	-1.4153	1.0389	-1.8830	-0.9405	-1.2632	-1.9206	0.6245	2.1553	0.8933	-3.5006	-0.7649	0.4317	-0.1286	2.9539	-0.6220	3.4530	-1.8390	1.3786	-1.8072	0.2086	-0.5133	-0.5053	-3.5422	3.3796	3.3067	1.8818	3.2889	-3.0357	-0.9183	2.5226	0.2391	-3.3675	8.4636	0.6378	0.1778	1.6350	-1.8043	0.1314	-6.1029	-4.2480
0.7530	-0.8805	-1.3522	0.8734	2.0870	1.5496	1.0333	0.6281	-1.4928	0.6712	-0.4782	-2.9920	-0.7718	-1.8673	-1.4237	2.0571	-1.9083	2.0087	3.7049	4.3762	0.6447	-0.7295	5.7830	-2.8371	-0.3685	0.6620	-0.3145	0.6646	4.6929	0.5558	-1.4235	-0.3943	2.0719	0.5730	-2.6730	-1.6384	2.3648	1.3790	2.0018	2.8037	-0.5033	4.2653	3.2915	-1.3411	-5.2556	5.7404	-2.6397	2.3624	7.5064	-1.6954
-0.8309	-0.6834	2.5851	0.3143	3.0492	-0.8209	-2.3813	1.2688	2.2694	-2.9719	2.0080	2.0092	-0.1104	-0.4045	-2.9569	3.8374	0.2467	-6.1072	-1.2166	1.4931	0.5015	-0.3658	3.4991	3.4751	-1.3756	9.2383	-0.7711	0.3656	-5.4450	0.7804	1.2858	-0.6331	2.9494	-0.0784	-3.7770	-3.2372	-11.7527	2.4756	-0.5463	2.0719	1.3055	4.2452	-5.5559	4.0278	6.9733	-0.3378	0.7160	-0.7474	-3.6005	1.9400
