X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70
0.2347	-0.3655	2.9921	-0.0017	-1.1368	0.8321	0.0652	-4.5464	-0.0533	1.1631	-1.9388	3.1467	1.7688	0.1792	-0.0970	-2.0122	-2.0616	-0.6895	-0.0362	0.0466	-0.9253	1.4231	0.0835	-0.6466	0.0262	-0.7200	1.2521	0.8599	-1.7954	-0.0180	2.0532	-0.2887	-1.0037	0.7018	1.3044	0.7117	1.7237	-0.1000	-0.4327	-7.2742	-1.9501	0.1563	2.9899	-0.1697	-0.0357	-2.2414	-0.7412	-10.6335	0.1680	-1.6619	0.8679	1.3244	0.0093	2.4569	0.5432	-1.8900	-0.4736	-0.7774	-0.6595	-5.5834	4.7768	-1.3393	3.1448	0.9744	-2.9691	0.1409	2.3522	0.1439	-3.1211	4.5338
-4.1352	-2.2345	-0.6599	-3.6243	-0.6026	0.2714	0.3490	-0.0744	-1.3049	-1.0811	1.3437	-1.0203	-2.3279	0.1529	2.4979	-0.7313	-2.5857	0.4074	0.1208	0.7250	-0.7921	-0.5606	-3.6177	-3.3915	1.5718	-2.1581	-0.6353	-1.5958	0.0218	7.2998	-1.8940	0.0762	0.4650	-0.4396	-1.5344	3.0733	-1.3180	3.5563	2.5156	0.7871	0.2543	3.1473	-1.2899	1.8011	-0.6654	0.1417	0.6081	3.5618	-4.5489	2.5074	-1.5596	-3.9594	-0.8454	-5.8989	-2.8396	2.5254	-1.5568	1.8497	-2.4153	-2.5138	2.6766	-2.5942	-3.4715	-4.3727	7.0523	-1.5111	-2.0094	3.4970	1.9059	4.2857
-2.7680	-0.4220	-0.8010	0.2086	-0.9900	1.6292	0.7244	0.2008	-0.7699	0.1083	-0.4340	0.5213	-0.3701	-1.8218	-1.1628	-0.1757	-2.5277	-0.4416	-2.1568	-0.1074	-0.3045	0.2850	1.3595	-0.6319	-0.5296	-0.2827	0.6626	0.5618	0.2228	2.3129	-0.7726	2.0510	0.2130	-2.4360	0.9480	4.2736	0.5509	0.4526	-3.5586	1.2197	-0.1760	-0.5666	0.8309	-0.3238	-1.6065	-0.5100	1.0081	4.8265	-2.6307	-3.0822	0.5385	-1.9152	1.9591	0.8666	-1.0296	-1.2456	1.7666	-4.7884	-0.4019	-2.6692	0.2553	-0.8626	-3.7552	3.1797	-5.1261	2.3286	-0.0908	4.3615	-0.1337	0.6342
-2.8051	-0.5579	2.0405	3.4248	-0.3269	0.2507	0.3636	-0.3912	0.4462	-1.9885	1.2182	0.7035	2.5891	0.0077	-1.6220	-2.3538	0.3440	4.5757	-2.1676	0.0757	0.4822	0.6927	-0.3093	1.6602	-2.0259	-0.6012	-0.7301	-2.1016	0.7624	5.2479	-1.1137	-0.3705	1.2404	-1.0454	2.1765	3.4124	-3.1212	-4.0653	-0.7143	0.7265	-1.8753	0.9569	-5.4853	1.5596	-2.8719	3.6658	-1.3566	4.6026	1.3880	-2.0442	-5.5816	-3.4136	2.6593	-6.7208	1.1976	8.3415	-0.7636	0.6947	-3.5497	-3.0634	-0.0133	1.6998	2.9202	-2.0041	3.0217	1.1386	4.9024	1.4184	2.8775	12.0878
-1.8228	0.2209	-0.6660	-2.3124	-1.4757	1.6691	-1.5461	2.6001	-2.5604	-0.5758	-1.1358	-1.5975	-3.6163	-0.0753	1.6490	0.0186	1.7731	1.5759	-0.7961	1.0009	-1.4236	-2.1553	1.2785	-0.8825	-1.0701	1.8850	1.3944	-2.8505	-2.2787	3.6550	5.5793	-2.0046	0.4416	1.6822	1.6157	0.1965	2.9412	-2.7782	0.8008	2.9298	-0.1155	1.0602	5.7660	-1.3588	2.3143	6.0818	-2.0552	-1.7733	-1.4038	-0.2428	10.1875	3.3823	3.7198	-5.8367	-3.0460	-14.0654	-0.2438	3.0071	5.2903	-1.9526	-0.4999	-8.9113	-1.2276	-0.5562	1.8858	-1.5613	-6.8898	-3.5603	-4.2121	-3.4163
0.4191	-1.4689	-0.7979	-1.8916	-0.2442	0.4737	-2.2487	1.3891	1.1429	-0.6400	-3.3617	0.7481	-2.6130	-0.2970	2.6628	0.3240	-3.0373	3.1997	0.6973	-0.8863	-0.5558	-1.2864	-0.5249	-1.1799	-1.7923	2.9440	0.3141	-0.9513	-0.3913	-3.2367	2.4558	2.8763	1.6125	1.7593	-0.2765	0.5495	-2.2523	1.4825	2.3780	0.3648	-0.1158	-1.2104	-1.5113	-1.9208	-0.1168	1.3610	0.3131	4.1586	-2.0937	3.7897	-2.6293	3.6154	-2.1667	0.2394	-2.6980	3.3333	0.2862	2.7314	3.4040	-0.4164	2.8848	-2.8859	-0.4380	-0.9704	0.9251	-1.9672	3.9417	0.9767	0.9804	-0.3739
-0.8237	-0.4059	1.0166	0.1823	-0.7558	-0.2221	-0.7067	-1.4067	0.2424	1.9059	-1.3982	-1.0387	-1.9426	-0.6131	0.1457	-0.5176	2.4424	-0.3660	0.4700	0.3145	-2.5368	-1.2429	-0.1219	-0.1993	0.2162	1.5793	-0.2868	-0.1014	2.0240	1.6353	-1.4579	0.8503	-0.0823	2.9150	0.9800	0.1934	-0.1042	-0.7302	0.2882	-1.7284	-0.4306	0.6856	-0.2038	-1.4901	1.7231	-1.3216	-0.3726	-1.7513	-0.1205	-0.7415	0.1038	2.3386	2.3072	1.2114	1.8414	0.9738	-1.7386	1.2561	3.8714	-0.8117	-3.5333	0.6822	1.3749	-0.5910	0.9613	0.6887	-4.1949	1.9473	0.1723	-2.2883
-3.0620	-2.1072	1.5009	1.2909	2.7084	-0.4218	1.7617	-1.8573	5.1343	1.5073	-1.4124	1.1753	2.3648	0.0178	0.3909	-0.2992	3.2856	-0.1844	1.7629	0.0479	1.0551	0.3026	-1.0211	0.4498	0.8277	-4.0871	-0.3909	-0.9190	-1.3483	3.3455	-0.4677	-1.0557	2.2947	-2.3614	0.1907	5.9439	-0.2133	5.8257	0.4976	0.9045	0.3120	-0.6712	0.3351	-0.1184	-2.5490	-2.6437	1.9982	-3.0059	1.2723	1.9580	-3.0423	3.7342	-1.5893	-4.6044	-0.7486	0.9895	0.5245	1.5338	0.0304	0.4339	1.1498	1.2398	-0.6988	-2.1444	3.2976	1.0895	-0.9990	3.3429	-0.2301	-0.8790
0.6881	2.5923	-0.4408	1.3896	-3.1915	1.4682	-3.8156	1.7186	-5.9354	-1.4531	-0.6497	-2.8566	1.6468	1.0178	-1.4905	-2.2577	1.4636	4.0171	-2.3805	2.2353	-1.5879	-0.1677	-0.2902	-0.7617	1.0452	-0.5542	-0.5248	0.2188	-0.3267	0.7755	1.3356	-2.9665	-0.4692	-2.1059	-2.4242	-2.2879	2.8714	0.2016	-5.4506	3.2877	-1.8974	0.3301	4.3305	0.8058	3.8099	3.5944	1.8048	2.5959	-0.4521	-6.7928	8.2139	-2.9080	-1.0446	3.6929	2.1662	-13.1337	-3.9449	-7.7639	-1.1237	-3.7909	1.2779	-7.7180	-0.1677	-1.4900	5.6124	-1.7095	-4.8457	-5.3071	-4.1872	10.2374
-2.2587	-1.1680	2.9088	2.6473	-3.6273	1.5360	-1.8844	-1.6462	-3.5159	0.9674	-2.6745	-2.1656	2.6792	1.6701	0.9709	-0.8431	2.4977	2.2635	-1.8911	2.9802	-1.6112	-0.9067	2.1565	1.6697	0.9423	1.9039	0.8165	-1.1634	-2.4531	6.9020	3.4900	-4.5668	-1.4476	1.6454	1.4871	0.6135	-1.5440	-1.9354	-5.3251	-4.5746	1.9197	0.5528	-1.3886	0.8909	0.8645	-0.3022	-2.8539	-3.9085	3.4226	-6.1006	-4.6512	3.4829	2.6712	3.2106	1.9016	5.2187	-2.3629	-6.4464	-0.9449	-1.2055	-1.5597	6.8156	0.1267	-1.4889	5.2957	-1.0879	4.4957	-1.8299	-1.0785	6.6013
